i:0, j:0, l1:0, l2:0, l3:255
i:0, j:1, l1:0, l2:0, l3:255
i:0, j:2, l1:0, l2:0, l3:255
i:0, j:3, l1:0, l2:0, l3:255
i:0, j:4, l1:0, l2:0, l3:255
i:0, j:5, l1:0, l2:0, l3:255
i:0, j:6, l1:0, l2:0, l3:255
i:0, j:7, l1:0, l2:0, l3:255
i:0, j:8, l1:0, l2:0, l3:255
i:0, j:9, l1:0, l2:0, l3:255
i:1, j:0, l1:8828553436706304341, l2:388574709505, l3:2
i:1, j:1, l1:0, l2:0, l3:255
i:1, j:2, l1:0, l2:0, l3:255
i:1, j:3, l1:0, l2:0, l3:255
i:1, j:4, l1:0, l2:0, l3:255
i:1, j:5, l1:0, l2:0, l3:255
i:1, j:6, l1:0, l2:0, l3:255
i:1, j:7, l1:0, l2:0, l3:255
i:1, j:8, l1:0, l2:0, l3:255
i:1, j:9, l1:0, l2:0, l3:255
i:2, j:0, l1:0, l2:0, l3:255
i:2, j:1, l1:0, l2:0, l3:255
i:2, j:2, l1:0, l2:0, l3:255
i:2, j:3, l1:0, l2:0, l3:255
i:2, j:4, l1:0, l2:0, l3:255
i:2, j:5, l1:0, l2:0, l3:255
i:2, j:6, l1:0, l2:0, l3:255
i:2, j:7, l1:0, l2:0, l3:255
i:2, j:8, l1:0, l2:0, l3:255
i:2, j:9, l1:0, l2:0, l3:255
i:3, j:0, l1:4440630859752745849, l2:788954478337, l3:0
i:3, j:1, l1:0, l2:0, l3:255
i:3, j:2, l1:0, l2:0, l3:255
i:3, j:3, l1:0, l2:0, l3:255
i:3, j:4, l1:0, l2:0, l3:255
i:3, j:5, l1:0, l2:0, l3:255
i:3, j:6, l1:0, l2:0, l3:255
i:3, j:7, l1:0, l2:0, l3:255
i:3, j:8, l1:0, l2:0, l3:255
i:3, j:9, l1:0, l2:0, l3:255
i:4, j:0, l1:233423515633019441, l2:564683195142, l3:0
i:4, j:1, l1:7416497636910221437, l2:851951660801, l3:1
