 18:09:23 up 6 days, 18:46,  5 users,  load average: 0.41, 0.35, 0.26
 18:09:24 up 6 days, 18:46,  5 users,  load average: 0.41, 0.35, 0.26
 18:09:25 up 6 days, 18:46,  5 users,  load average: 0.41, 0.35, 0.26
 18:09:26 up 6 days, 18:46,  5 users,  load average: 0.38, 0.35, 0.26
 18:09:27 up 6 days, 18:46,  5 users,  load average: 0.38, 0.35, 0.26
 18:09:28 up 6 days, 18:46,  5 users,  load average: 0.38, 0.35, 0.26
 18:09:29 up 6 days, 18:46,  5 users,  load average: 0.38, 0.35, 0.26
 18:09:30 up 6 days, 18:46,  5 users,  load average: 0.38, 0.35, 0.26
 18:09:31 up 6 days, 18:46,  5 users,  load average: 0.43, 0.36, 0.26
 18:09:32 up 6 days, 18:46,  5 users,  load average: 0.43, 0.36, 0.26
 18:09:33 up 6 days, 18:46,  5 users,  load average: 0.43, 0.36, 0.26
 18:09:34 up 6 days, 18:46,  5 users,  load average: 0.43, 0.36, 0.26
 18:09:35 up 6 days, 18:46,  5 users,  load average: 0.43, 0.36, 0.26
 18:09:36 up 6 days, 18:46,  5 users,  load average: 0.39, 0.35, 0.26
 18:09:37 up 6 days, 18:46,  5 users,  load average: 0.39, 0.35, 0.26
 18:09:38 up 6 days, 18:46,  5 users,  load average: 0.39, 0.35, 0.26
 18:09:39 up 6 days, 18:46,  5 users,  load average: 0.39, 0.35, 0.26
 18:09:40 up 6 days, 18:46,  5 users,  load average: 0.39, 0.35, 0.26
 18:09:41 up 6 days, 18:46,  5 users,  load average: 0.36, 0.35, 0.26
 18:09:42 up 6 days, 18:46,  5 users,  load average: 0.36, 0.35, 0.26
 18:09:43 up 6 days, 18:46,  5 users,  load average: 0.36, 0.35, 0.26
 18:09:44 up 6 days, 18:46,  5 users,  load average: 0.36, 0.35, 0.26
 18:09:45 up 6 days, 18:46,  5 users,  load average: 0.36, 0.35, 0.26
 18:09:46 up 6 days, 18:46,  5 users,  load average: 0.33, 0.34, 0.26
 18:09:47 up 6 days, 18:46,  5 users,  load average: 0.33, 0.34, 0.26
 18:09:48 up 6 days, 18:46,  5 users,  load average: 0.33, 0.34, 0.26
